Date,Open,High,Low,Average,Close,Change,Volume,Volume Change
2024-03-25 02:00,1.79e-07,1.79e-07,1.56e-07,1.68e-07,1.61e-07,0.0,2176.331982305,0.0
2024-03-25 03:00,1.61e-07,1.7e-07,1.61e-07,1.66e-07,1.7e-07,5.648519087,302.455152851,-86.102526852
2024-03-25 06:00,1.7e-07,1.7e-07,1.35e-07,1.53e-07,1.35e-07,-20.535378387,2028.457428678,570.663868529
2024-03-25 07:00,1.35e-07,1.72e-07,1.35e-07,1.54e-07,1.72e-07,27.243456667,1629.480872659,-19.668963735
2024-03-25 08:00,1.72e-07,1.78e-07,1.72e-07,1.75e-07,1.78e-07,3.621681202,667.415976095,-59.041189909
2024-03-25 10:00,1.78e-07,1.81e-07,1.78e-07,1.8e-07,1.81e-07,1.329256185,1808.174359182,170.92164766
2024-03-25 13:00,1.81e-07,1.81e-07,1.28e-07,1.55e-07,1.46e-07,-19.126331657,536.151822908,-70.348444541
2024-03-25 15:00,1.46e-07,1.57e-07,1.46e-07,1.52e-07,1.57e-07,7.379197249,213.411595484,-60.195678469
2024-03-26 01:00,1.57e-07,1.67e-07,1.57e-07,1.62e-07,1.67e-07,6.486875264,837.997225082,292.66714781
2024-03-26 02:00,1.67e-07,1.85e-07,1.67e-07,1.76e-07,1.85e-07,10.68135095,105.815606319,-87.372797528
2024-03-26 04:00,1.85e-07,1.89e-07,1.85e-07,1.87e-07,1.89e-07,2.204442696,238.969527983,125.835806548
2024-03-26 08:00,1.89e-07,1.9e-07,1.89e-07,1.9e-07,1.9e-07,0.690884566,217.753322532,-8.878205364
2024-03-26 18:00,1.9e-07,1.94e-07,1.9e-07,1.92e-07,1.94e-07,1.729856101,61.461199078,-71.774851303
2024-03-26 23:00,1.94e-07,1.94e-07,1.9e-07,1.92e-07,1.9e-07,-2.157289489,359.01597071,484.134341819
2024-03-27 09:00,1.9e-07,2.04e-07,1.9e-07,1.97e-07,2.04e-07,7.760919035,485.373160055,35.195422949
2024-03-27 11:00,2.04e-07,2.04e-07,1.9e-07,1.97e-07,1.9e-07,-7.139100382,81.561868171,-83.196048961
2024-03-27 12:00,1.9e-07,1.9e-07,1.87e-07,1.88e-07,1.87e-07,-1.360968339,335.78763248,311.696838253
2024-03-27 14:00,1.87e-07,1.95e-07,9.5e-08,1.45e-07,1.8e-07,-3.700130419,3267.588555729,873.111645476
2024-03-27 20:00,1.8e-07,1.8e-07,1.69e-07,1.74e-07,1.69e-07,-6.429677198,431.373243303,-86.798422263
2024-03-28 00:00,1.69e-07,1.78e-07,1.69e-07,1.73e-07,1.78e-07,5.562548386,1552.880871611,259.985440849
2024-03-28 02:00,1.78e-07,2.67e-07,1.78e-07,2.23e-07,2.67e-07,50.084549565,5617.657651956,261.757154374
2024-03-28 05:00,2.67e-07,2.67e-07,2.24e-07,2.46e-07,2.24e-07,-16.005603154,900.411884844,-83.971755834
2024-03-28 08:00,2.24e-07,2.24e-07,2.03e-07,2.14e-07,2.03e-07,-9.682370768,839.958930102,-6.713922346
2024-03-28 12:00,2.03e-07,2.03e-07,1.83e-07,1.93e-07,1.85e-07,-8.617827589,474.692689158,-43.486202462
2024-03-28 17:00,1.85e-07,1.85e-07,1.82e-07,1.84e-07,1.82e-07,-1.530402397,1367.65127576,188.112984884
2024-03-28 23:00,1.82e-07,2.09e-07,1.82e-07,1.96e-07,2.09e-07,14.814027617,628.102205382,-54.074388953
2024-03-29 00:00,2.09e-07,2.09e-07,1.94e-07,2.02e-07,1.94e-07,-7.194150149,908.431129024,44.631100041
2024-03-29 01:00,1.94e-07,1.94e-07,1.77e-07,1.86e-07,1.77e-07,-8.996352799,710.682887157,-21.768104983
2024-03-29 02:00,1.77e-07,1.94e-07,1.73e-07,1.84e-07,1.73e-07,-2.048765457,1554.457316669,118.727275521
2024-03-29 05:00,1.73e-07,1.91e-07,1.73e-07,1.82e-07,1.91e-07,10.172853447,709.741308433,-54.341537666
2024-03-29 09:00,1.91e-07,2e-07,1.91e-07,1.96e-07,2e-07,5.016239402,193.101808638,-72.792649048
2024-03-29 20:00,2e-07,2e-07,1.89e-07,1.94e-07,1.89e-07,-5.915752868,373.999509066,93.679961728
2024-03-29 21:00,1.89e-07,1.89e-07,1.89e-07,1.89e-07,1.89e-07,0.33891698,79.590261719,-78.719153424
2024-03-29 23:00,1.89e-07,1.91e-07,1.89e-07,1.9e-07,1.91e-07,1.114749898,1125.214470692,1313.758978029
2024-03-30 04:00,1.91e-07,1.91e-07,1.67e-07,1.79e-07,1.67e-07,-12.828288272,7.0867894,-99.370183233
2024-03-30 06:00,1.67e-07,1.77e-07,1.67e-07,1.72e-07,1.77e-07,6.3575476,276.56041894,3802.478305923
2024-03-30 08:00,1.77e-07,1.79e-07,1.77e-07,1.78e-07,1.79e-07,1.15089916,149.765007309,-45.847273488
2024-03-30 10:00,1.79e-07,1.83e-07,1.79e-07,1.81e-07,1.83e-07,2.063772319,564.360933566,276.830972539
2024-03-30 11:00,1.83e-07,1.83e-07,1.83e-07,1.83e-07,1.83e-07,0.077966526,344.538466811,-38.950688058
2024-03-30 15:00,1.83e-07,1.86e-07,1.83e-07,1.84e-07,1.86e-07,1.323787582,27.763765992,-91.941751454
2024-03-30 18:00,1.86e-07,1.87e-07,1.86e-07,1.86e-07,1.87e-07,0.568496164,540.739560995,1847.644858974
2024-03-30 22:00,1.87e-07,1.87e-07,1.77e-07,1.82e-07,1.81e-07,-3.294626461,1034.430385529,91.299187288
2024-03-31 00:00,1.81e-07,1.81e-07,1.79e-07,1.8e-07,1.79e-07,-0.876895669,504.11719255,-51.266204125
2024-03-31 03:00,1.79e-07,1.83e-07,1.79e-07,1.81e-07,1.83e-07,2.422405568,743.052997182,47.39687679
2024-03-31 08:00,1.83e-07,1.95e-07,1.83e-07,1.89e-07,1.95e-07,6.215534676,676.229816927,-8.993057091
2024-03-31 13:00,1.95e-07,2.03e-07,1.95e-07,1.99e-07,2.03e-07,4.186683506,101.431500596,-85.000439487
2024-03-31 18:00,2.03e-07,2.03e-07,1.95e-07,1.99e-07,1.95e-07,-3.930049665,239.304716919,135.927414573
2024-03-31 20:00,1.95e-07,2.03e-07,1.95e-07,1.99e-07,2.03e-07,4.235000604,530.959391747,121.875857101
2024-03-31 23:00,2.03e-07,2.03e-07,1.87e-07,1.95e-07,1.87e-07,-8.107689075,514.603902558,-3.080365362
2024-04-01 04:00,1.87e-07,2e-07,1.87e-07,1.93e-07,2e-07,7.264512055,118.949610314,-76.885210213
2024-04-01 06:00,2e-07,2e-07,1.95e-07,1.98e-07,1.95e-07,-2.586528302,229.849287456,93.232484621
2024-04-01 08:00,1.95e-07,1.95e-07,1.92e-07,1.94e-07,1.92e-07,-1.575669588,1284.041634948,458.645036128
2024-04-01 10:00,1.92e-07,1.92e-07,1.88e-07,1.9e-07,1.9e-07,-1.283474998,1660.745481124,29.337354485
2024-04-01 12:00,1.9e-07,1.9e-07,1.88e-07,1.89e-07,1.88e-07,-0.919369834,2502.982747959,50.714409668
2024-04-01 13:00,1.88e-07,1.88e-07,1.55e-07,1.71e-07,1.56e-07,-16.873288281,98.114834431,-96.080083472
