Date,Open,High,Low,Average,Close,Change,Volume,Volume Change
2024-04-14 17:00,3.91e-07,4e-07,3.9e-07,3.95e-07,4e-07,0.0,862.100368663,0.0
2024-04-14 20:00,4e-07,4.35e-07,4e-07,4.17e-07,4.35e-07,8.768670036,1244.216597969,44.323867985
2024-04-14 21:00,4.35e-07,4.87e-07,4.35e-07,4.61e-07,4.87e-07,11.963413265,2073.093139322,66.618347859
2024-04-14 22:00,4.87e-07,5.69e-07,4.87e-07,5.28e-07,5.69e-07,16.977424462,3287.863072175,58.596978101
2024-04-15 00:00,5.69e-07,5.69e-07,5.23e-07,5.46e-07,5.45e-07,-4.267141263,3097.383989374,-5.793400717
2024-04-15 08:00,5.45e-07,5.64e-07,5.45e-07,5.55e-07,5.64e-07,3.566401372,44.661539227,-98.558088394
2024-04-15 09:00,5.64e-07,6.08e-07,5.64e-07,5.86e-07,6.08e-07,7.720978139,1294.529547905,2798.533212913
2024-04-15 12:00,6.08e-07,6.18e-07,5.55e-07,5.87e-07,5.55e-07,-8.646853372,2335.753716964,80.432630583
2024-04-15 13:00,5.55e-07,5.55e-07,4.62e-07,5.09e-07,4.62e-07,-16.766277827,2694.514866543,15.359545271
2024-04-15 16:00,4.62e-07,4.72e-07,4.62e-07,4.67e-07,4.72e-07,2.175573676,712.210792504,-73.568125329
2024-04-15 18:00,4.72e-07,4.72e-07,4.71e-07,4.71e-07,4.71e-07,-0.375592018,49.437594025,-93.05857275
2024-04-15 21:00,4.71e-07,4.71e-07,4.36e-07,4.53e-07,4.36e-07,-7.400926237,1042.782227867,2009.290001729
2024-04-15 22:00,4.36e-07,4.36e-07,4.32e-07,4.34e-07,4.32e-07,-0.818013448,517.907202433,-50.334097706
2024-04-15 23:00,4.32e-07,4.62e-07,4.32e-07,4.47e-07,4.62e-07,6.90254191,1033.041028161,99.464503159
2024-04-16 00:00,4.62e-07,4.8e-07,4.62e-07,4.71e-07,4.8e-07,3.81033671,43.532892456,-95.785947385
2024-04-16 01:00,4.8e-07,4.96e-07,4.8e-07,4.88e-07,4.96e-07,3.37885056,537.451024166,1134.586065479
2024-04-16 09:00,4.96e-07,4.98e-07,4.91e-07,4.95e-07,4.91e-07,-0.984489245,480.89416474,-10.523165253
2024-04-16 10:00,4.91e-07,4.91e-07,4.64e-07,4.77e-07,4.64e-07,-5.555838813,1023.228254089,112.776184265
2024-04-16 13:00,4.64e-07,4.64e-07,4.54e-07,4.59e-07,4.54e-07,-2.024255094,152.96187293,-85.0510507
2024-04-16 15:00,4.54e-07,4.54e-07,4.5e-07,4.52e-07,4.5e-07,-0.935760465,449.96323675,194.16692417
2024-04-16 18:00,4.5e-07,4.5e-07,4.28e-07,4.39e-07,4.28e-07,-4.987025793,578.105957395,28.478486725
2024-04-16 23:00,4.28e-07,4.28e-07,4.25e-07,4.26e-07,4.25e-07,-0.545866258,66.501302433,-88.496693109
2024-04-17 06:00,4.25e-07,4.34e-07,4.25e-07,4.3e-07,4.34e-07,2.031192572,307.952520485,363.077427386
2024-04-17 11:00,4.34e-07,4.34e-07,4.2e-07,4.27e-07,4.2e-07,-3.292110409,870.73610383,182.750114355
2024-04-17 22:00,4.2e-07,4.2e-07,4.02e-07,4.11e-07,4.02e-07,-4.210794587,104.369365163,-88.013662842
2024-04-18 05:00,4.02e-07,6.42e-07,4.02e-07,5.22e-07,5.98e-07,48.894370502,14448.558604034,13743.677770248
2024-04-18 06:00,5.98e-07,6.41e-07,5.98e-07,6.2e-07,6e-07,0.253903679,3752.596799268,-74.027881243
2024-04-18 07:00,6e-07,6e-07,5.53e-07,5.76e-07,5.53e-07,-7.891564481,2462.24773053,-34.385497237
2024-04-18 10:00,5.53e-07,5.53e-07,5.01e-07,5.27e-07,5.01e-07,-9.365823166,101.511560578,-95.877280774
2024-04-18 11:00,5.01e-07,5.01e-07,4.96e-07,4.98e-07,4.96e-07,-0.95525427,135.184871484,33.17189758
2024-04-18 13:00,4.96e-07,6.48e-07,4.96e-07,5.72e-07,6.48e-07,30.672037306,4606.280691437,3307.393623916
2024-04-18 14:00,6.48e-07,7.24e-07,6.48e-07,6.86e-07,7.24e-07,11.761904369,1512.184905004,-67.171238439
2024-04-18 15:00,7.24e-07,7.24e-07,5.81e-07,6.53e-07,5.96e-07,-17.792255446,4719.189779442,212.077561668
2024-04-18 16:00,5.96e-07,5.96e-07,4.34e-07,5.15e-07,4.83e-07,-18.867729235,7070.467307271,49.823754452
2024-04-18 17:00,4.83e-07,5.54e-07,4.83e-07,5.18e-07,5.54e-07,14.568047606,1641.557363187,-76.782901443
2024-04-18 18:00,5.54e-07,6.51e-07,5.54e-07,6.02e-07,6.16e-07,11.265823454,5033.363958028,206.621265324
2024-04-18 19:00,6.16e-07,6.64e-07,6.16e-07,6.4e-07,6.64e-07,7.816857248,1490.210936823,-70.393340334
2024-04-18 21:00,6.64e-07,6.84e-07,6.64e-07,6.74e-07,6.84e-07,3.077781473,609.786430364,-59.080529119
2024-04-19 00:00,6.84e-07,6.95e-07,6.48e-07,6.71e-07,6.53e-07,-4.567565888,1701.227969872,178.987508603
2024-04-19 01:00,6.53e-07,6.95e-07,6.53e-07,6.74e-07,6.95e-07,6.407512357,1504.084686869,-11.588293074
2024-04-19 02:00,6.95e-07,7.1e-07,6.95e-07,7.02e-07,7.1e-07,2.137508706,54.018698191,-96.408533465
2024-04-19 03:00,7.1e-07,7.1e-07,7.05e-07,7.08e-07,7.05e-07,-0.652385468,23.763157642,-56.009384828
2024-04-19 05:00,7.05e-07,7.05e-07,6.26e-07,6.66e-07,6.26e-07,-11.192643264,1623.774313451,6733.158866832
2024-04-19 07:00,6.26e-07,6.4e-07,6.26e-07,6.33e-07,6.29e-07,0.432803935,2093.271733181,28.913957798
2024-04-19 13:00,6.29e-07,7.45e-07,6.29e-07,6.87e-07,7.14e-07,13.445444153,5857.738502352,179.836507105
2024-04-19 15:00,7.14e-07,7.68e-07,7.06e-07,7.37e-07,7.68e-07,7.636472858,2549.907688257,-56.469417554
2024-04-19 16:00,7.68e-07,7.68e-07,7.38e-07,7.53e-07,7.38e-07,-3.89453189,1066.183523002,-58.187367805
2024-04-19 18:00,7.38e-07,7.38e-07,7.25e-07,7.32e-07,7.25e-07,-1.756315547,217.910032298,-79.561676991
2024-04-19 19:00,7.25e-07,7.57e-07,7.25e-07,7.41e-07,7.57e-07,4.347138567,1597.680484927,633.183538216
2024-04-19 20:00,7.57e-07,8.31e-07,7.57e-07,7.94e-07,8.31e-07,9.837318428,1769.143966915,10.732025809
2024-04-19 21:00,8.31e-07,8.41e-07,8.31e-07,8.36e-07,8.41e-07,1.178826851,597.006956179,-66.254472935
2024-04-19 22:00,8.41e-07,8.41e-07,7.99e-07,8.2e-07,7.99e-07,-5.02840036,1351.424746911,126.366666741
2024-04-20 00:00,7.99e-07,7.99e-07,7.69e-07,7.84e-07,7.69e-07,-3.708879956,288.656849705,-78.640553211
2024-04-20 01:00,7.69e-07,7.69e-07,7.43e-07,7.56e-07,7.43e-07,-3.379581202,1037.028461639,259.259952674
2024-04-20 06:00,7.43e-07,7.43e-07,6.73e-07,7.08e-07,6.73e-07,-9.442541883,1229.791322282,18.588000983
2024-04-20 08:00,6.73e-07,8.09e-07,6.73e-07,7.41e-07,7.51e-07,11.525624708,3736.27973044,203.814123807
2024-04-20 09:00,7.51e-07,8.03e-07,7.51e-07,7.77e-07,8.03e-07,7.046105663,179.770827475,-95.188507273
2024-04-20 10:00,8.03e-07,8.03e-07,7.56e-07,7.8e-07,7.56e-07,-5.924922881,2148.422349813,1095.089537047
2024-04-20 15:00,7.56e-07,7.56e-07,7.14e-07,7.35e-07,7.14e-07,-5.481870226,121.801558145,-94.330651133
2024-04-20 17:00,7.14e-07,8.39e-07,5.35e-07,6.87e-07,7.1e-07,-0.568538349,31311.213045721,25606.7426087
2024-04-20 18:00,7.1e-07,9.02e-07,6.33e-07,7.68e-07,9.02e-07,27.002696363,8853.821612117,-71.723160009
2024-04-20 19:00,9.02e-07,1.141e-06,9.02e-07,1.022e-06,1.009e-06,11.84221049,17904.035266766,102.218161277
2024-04-20 20:00,1.009e-06,1.044e-06,7.41e-07,8.93e-07,9.73e-07,-3.572013416,21675.243091997,21.063451725
