Date,Open,High,Low,Average,Close,Change,Volume,Volume Change
2024-04-18 12:00,7.6e-08,7.7e-08,7.5e-08,7.6e-08,7.6e-08,0.0,12589.03305845,0.0
2024-04-18 13:00,7.6e-08,7.6e-08,7.6e-08,7.6e-08,7.6e-08,-0.114188536,170.636949903,-98.644558727
2024-04-18 14:00,7.6e-08,7.7e-08,7.6e-08,7.6e-08,7.7e-08,2.173892725,429.956995706,151.971800921
2024-04-18 15:00,7.7e-08,8e-08,7.7e-08,7.9e-08,7.7e-08,0.20416211,34248.889958634,7865.654774933
2024-04-18 16:00,7.7e-08,7.7e-08,7.6e-08,7.7e-08,7.6e-08,-2.037556726,10421.292662386,-69.571881965
2024-04-18 17:00,7.6e-08,7.6e-08,7.6e-08,7.6e-08,7.6e-08,0.661227192,4197.008812218,-59.726600642
2024-04-18 18:00,7.6e-08,7.6e-08,7.5e-08,7.6e-08,7.5e-08,-1.035248269,2121.88468333,-49.442929995
2024-04-18 19:00,7.5e-08,7.6e-08,7.5e-08,7.6e-08,7.6e-08,0.864792289,329.524948398,-84.470176396
2024-04-18 20:00,7.6e-08,7.7e-08,7.6e-08,7.6e-08,7.7e-08,0.810838889,2007.007681101,509.060919623
2024-04-18 21:00,7.7e-08,7.9e-08,7.6e-08,7.8e-08,7.9e-08,3.027958598,18489.153924435,821.229853704
2024-04-18 22:00,7.9e-08,8.1e-08,7.9e-08,8e-08,8e-08,1.12423124,18087.084932409,-2.174620827
2024-04-18 23:00,8e-08,8.1e-08,8e-08,8e-08,8.1e-08,0.901020792,641.531851062,-96.453094274
2024-04-19 00:00,8.1e-08,8.1e-08,7.9e-08,8e-08,8e-08,-0.79865565,11580.060220522,1705.063957674
2024-04-19 01:00,8e-08,8e-08,7.7e-08,7.8e-08,7.7e-08,-4.221294985,849.24085315,-92.666352014
2024-04-19 02:00,7.7e-08,7.7e-08,7.4e-08,7.5e-08,7.5e-08,-2.548413139,21613.117921397,2444.99272394
