Date,Open,High,Low,Average,Close,Change,Volume,Volume Change
2024-04-16 06:00,4.27e-07,4.36e-07,4.27e-07,4.32e-07,4.36e-07,0.0,25255.273849129,0.0
2024-04-16 07:00,4.36e-07,4.46e-07,4.36e-07,4.41e-07,4.45e-07,1.923985485,24160.978472634,-4.332938075
2024-04-16 08:00,4.45e-07,4.46e-07,4.35e-07,4.4e-07,4.37e-07,-1.800615237,30392.310142838,25.790891198
2024-04-16 09:00,4.37e-07,4.37e-07,4.3e-07,4.34e-07,4.32e-07,-0.979821797,19873.620357995,-34.609707967
2024-04-16 10:00,4.32e-07,4.32e-07,4.09e-07,4.21e-07,4.14e-07,-4.204661025,82746.192461021,316.361945989
2024-04-16 11:00,4.14e-07,4.21e-07,4e-07,4.1e-07,4.18e-07,0.936985916,177353.500888061,114.334334443
2024-04-16 12:00,4.18e-07,4.22e-07,4.18e-07,4.2e-07,4.22e-07,0.943111292,27197.221218626,-84.664965122
2024-04-16 13:00,4.22e-07,4.25e-07,4.13e-07,4.19e-07,4.17e-07,-1.090591037,71880.779183574,164.294571147
2024-04-16 14:00,4.17e-07,4.21e-07,4.11e-07,4.16e-07,4.11e-07,-1.574440024,31133.918854516,-56.686725981
2024-04-16 15:00,4.11e-07,4.13e-07,4e-07,4.06e-07,4.02e-07,-2.190411444,72686.59930056,133.464343632
2024-04-16 16:00,4.02e-07,4.11e-07,3.98e-07,4.04e-07,4.11e-07,2.203607321,153970.89536576,111.828448225
2024-04-16 17:00,4.11e-07,4.32e-07,4.04e-07,4.18e-07,4.21e-07,2.573367769,215094.108829378,39.697900904
2024-04-16 18:00,4.21e-07,4.3e-07,4.19e-07,4.24e-07,4.27e-07,1.280013802,37044.128540239,-82.777711234
2024-04-16 19:00,4.27e-07,4.27e-07,4.24e-07,4.26e-07,4.25e-07,-0.396064408,8291.824097213,-77.616360746
2024-04-16 20:00,4.25e-07,4.3e-07,4.25e-07,4.27e-07,4.3e-07,1.131939503,9031.509206951,8.920656071
2024-04-16 21:00,4.3e-07,4.77e-07,4.3e-07,4.53e-07,4.77e-07,10.916990949,342585.61438747,3693.226652792
2024-04-16 22:00,4.77e-07,4.87e-07,4.76e-07,4.82e-07,4.82e-07,1.207530042,89080.553119528,-73.997579181
2024-04-16 23:00,4.82e-07,4.93e-07,4.73e-07,4.83e-07,4.77e-07,-1.023977279,174917.296147659,96.358565391
2024-04-17 00:00,4.77e-07,4.77e-07,4.56e-07,4.67e-07,4.6e-07,-3.608277214,93994.215090262,-46.26362449
2024-04-17 01:00,4.6e-07,4.61e-07,4.55e-07,4.58e-07,4.58e-07,-0.548560846,7868.767257356,-91.628455805
2024-04-17 02:00,4.58e-07,4.65e-07,4.58e-07,4.61e-07,4.63e-07,1.239951315,27017.903735978,243.356244407
2024-04-17 03:00,4.63e-07,5.26e-07,4.63e-07,4.95e-07,5.25e-07,13.322397439,315841.705028138,1069.008921323
2024-04-17 04:00,5.25e-07,5.25e-07,5.03e-07,5.14e-07,5.17e-07,-1.541501233,101404.170140126,-67.893989766
2024-04-17 05:00,5.17e-07,5.17e-07,5.02e-07,5.09e-07,5.02e-07,-2.921053349,49243.582544526,-51.438306259
2024-04-17 06:00,5.02e-07,5.07e-07,5.01e-07,5.04e-07,5.07e-07,1.073891424,16833.905914159,-65.81502595
2024-04-17 07:00,5.07e-07,5.07e-07,4.98e-07,5.03e-07,5.01e-07,-1.320094685,16465.154728076,-2.190526595
2024-04-17 08:00,5.01e-07,5.01e-07,4.84e-07,4.92e-07,4.86e-07,-2.831564594,89149.801732263,441.445271572
2024-04-17 09:00,4.86e-07,4.87e-07,4.83e-07,4.85e-07,4.84e-07,-0.46523914,5897.956824014,-93.384217677
2024-04-17 10:00,4.84e-07,4.87e-07,4.82e-07,4.85e-07,4.85e-07,0.084517801,4135.220499049,-29.887236844
2024-04-17 11:00,4.85e-07,4.85e-07,4.53e-07,4.69e-07,4.56e-07,-5.840315402,112379.942591869,2617.628784673
2024-04-17 12:00,4.56e-07,4.58e-07,4.56e-07,4.57e-07,4.56e-07,0.047151319,7338.430265569,-93.46998219
2024-04-17 13:00,4.56e-07,4.6e-07,4.52e-07,4.56e-07,4.6e-07,0.701121174,27267.0742811,271.565488726
2024-04-17 14:00,4.6e-07,4.6e-07,4.29e-07,4.44e-07,4.38e-07,-4.785052989,134947.122955869,394.908700379
2024-04-17 15:00,4.38e-07,4.38e-07,4.1e-07,4.24e-07,4.22e-07,-3.660484645,228718.123385929,69.487217197
2024-04-17 16:00,4.22e-07,4.28e-07,4.1e-07,4.19e-07,4.25e-07,0.780218913,119510.054420166,-47.747886066
2024-04-17 17:00,4.25e-07,4.64e-07,4.17e-07,4.41e-07,4.61e-07,8.435570844,277269.411769764,132.005092053
2024-04-17 18:00,4.61e-07,4.74e-07,4.61e-07,4.68e-07,4.74e-07,2.864428958,178936.198626695,-35.4648616
2024-04-17 19:00,4.74e-07,4.74e-07,4.6e-07,4.67e-07,4.65e-07,-1.867094786,34838.325835917,-80.53030851
2024-04-17 20:00,4.65e-07,4.66e-07,4.51e-07,4.58e-07,4.53e-07,-2.573722015,41703.453342106,19.705675693
2024-04-17 21:00,4.53e-07,4.8e-07,4.51e-07,4.65e-07,4.66e-07,2.741037695,187430.42249266,349.436215642
2024-04-17 22:00,4.66e-07,4.66e-07,4.51e-07,4.58e-07,4.6e-07,-1.186743685,107215.862005674,-42.796980031
2024-04-17 23:00,4.6e-07,4.6e-07,4.21e-07,4.41e-07,4.26e-07,-7.316066653,289429.25644586,169.950034474
2024-04-18 00:00,4.26e-07,4.27e-07,4.2e-07,4.23e-07,4.27e-07,0.057128754,52586.721410805,-81.830889504
2024-04-18 01:00,4.27e-07,4.35e-07,4.27e-07,4.31e-07,4.33e-07,1.422860618,27349.332781439,-47.991941601
2024-04-18 02:00,4.33e-07,4.42e-07,4.33e-07,4.37e-07,4.42e-07,2.117506102,31986.219627938,16.954296046
2024-04-18 03:00,4.42e-07,4.46e-07,4.39e-07,4.42e-07,4.46e-07,0.918487889,31315.782280529,-2.096019333
2024-04-18 04:00,4.46e-07,4.64e-07,4.42e-07,4.53e-07,4.64e-07,4.076332214,119916.903751082,282.928015902
2024-04-18 05:00,4.64e-07,4.65e-07,4.58e-07,4.61e-07,4.6e-07,-0.919466111,64881.722240342,-45.894431718
2024-04-18 06:00,4.6e-07,4.6e-07,4.44e-07,4.52e-07,4.48e-07,-2.594928294,78251.544669978,20.60645428
2024-04-18 07:00,4.48e-07,4.52e-07,4.33e-07,4.43e-07,4.35e-07,-2.859968379,84458.137406048,7.931591334
2024-04-18 08:00,4.35e-07,4.35e-07,4.03e-07,4.19e-07,4.21e-07,-3.175807705,235528.960879387,178.870654875
2024-04-18 09:00,4.21e-07,4.25e-07,4.18e-07,4.22e-07,4.24e-07,0.754225517,30710.865095973,-86.960896451
2024-04-18 10:00,4.24e-07,4.27e-07,4.24e-07,4.26e-07,4.27e-07,0.626434826,8942.602941303,-70.881305644
2024-04-18 11:00,4.27e-07,4.39e-07,4.27e-07,4.33e-07,4.36e-07,2.180363863,52123.285646188,482.864810037
2024-04-18 12:00,4.36e-07,4.45e-07,4.35e-07,4.4e-07,4.35e-07,-0.366099607,39929.139090874,-23.394815588
2024-04-18 13:00,4.35e-07,4.4e-07,4.25e-07,4.33e-07,4.39e-07,0.961530652,164486.692994896,311.946505084
2024-04-18 14:00,4.39e-07,4.94e-07,4.39e-07,4.67e-07,4.85e-07,10.397240266,299541.217947734,82.106657076
2024-04-18 15:00,4.85e-07,5.08e-07,4.62e-07,4.85e-07,4.89e-07,0.819247325,569121.89107039,89.997855711
2024-04-18 16:00,4.89e-07,5.11e-07,4.79e-07,4.95e-07,5e-07,2.260202924,318253.388435789,-44.079924981
2024-04-18 17:00,5e-07,5.26e-07,4.95e-07,5.11e-07,5.11e-07,2.197511985,219172.697736579,-31.132642825
