Date,Open,High,Low,Average,Close,Change,Volume,Volume Change
2024-04-17 23:00,6.069e-05,6.069e-05,5.8012e-05,5.9351e-05,5.8012e-05,0.0,28007.58398617,0.0
2024-04-18 00:00,5.8012e-05,5.8494e-05,5.7804e-05,5.8149e-05,5.7804e-05,-0.357870681,3983.461962001,-85.777202475
2024-04-18 01:00,5.7804e-05,5.7804e-05,5.7253e-05,5.7528e-05,5.7253e-05,-0.953423579,722.157458934,-81.871109456
2024-04-18 02:00,5.7253e-05,5.775e-05,5.7253e-05,5.7501e-05,5.7543e-05,0.507512899,5977.114972364,727.674754089
2024-04-18 03:00,5.7543e-05,5.7543e-05,5.7533e-05,5.7538e-05,5.7533e-05,-0.018765032,401.204652652,-93.287653751
2024-04-18 04:00,5.7533e-05,5.8237e-05,5.7378e-05,5.7807e-05,5.7623e-05,0.156629378,7933.748604778,1877.481704744
2024-04-18 05:00,5.7623e-05,5.7623e-05,5.6104e-05,5.6864e-05,5.6528e-05,-1.899426525,9322.393843409,17.503015382
2024-04-18 06:00,5.6528e-05,5.9996e-05,5.6528e-05,5.8262e-05,5.9996e-05,6.135239753,14953.943365314,60.408835075
2024-04-18 07:00,5.9996e-05,6.1322e-05,5.9996e-05,6.0659e-05,6.1322e-05,2.208980292,6276.054404781,-58.030773212
2024-04-18 08:00,6.1322e-05,6.1505e-05,6.1322e-05,6.1413e-05,6.1505e-05,0.299227424,134.271046219,-97.860581863
2024-04-18 09:00,6.1505e-05,6.1505e-05,5.8761e-05,6.0133e-05,5.8845e-05,-4.324638183,8349.642975878,6118.498485728
2024-04-18 10:00,5.8845e-05,5.9125e-05,5.8845e-05,5.8985e-05,5.9125e-05,0.47436066,1295.576011207,-84.48345618
2024-04-18 11:00,5.9125e-05,5.9168e-05,5.8905e-05,5.9036e-05,5.9168e-05,0.072908059,251.3966811,-80.595759807
2024-04-18 13:00,5.9168e-05,5.9432e-05,5.9168e-05,5.93e-05,5.9432e-05,0.44658198,297.159203956,18.203312254
2024-04-18 14:00,5.9432e-05,6.1722e-05,5.9432e-05,6.0577e-05,6.1722e-05,3.853198356,3764.218321217,1166.734555453
2024-04-18 15:00,6.1722e-05,6.1878e-05,6.0545e-05,6.1212e-05,6.0545e-05,-1.906005993,8382.058343377,122.677263328
2024-04-18 16:00,6.0545e-05,6.0545e-05,5.7102e-05,5.8824e-05,5.7102e-05,-5.687490741,20347.806289238,142.75429084
2024-04-18 17:00,5.7102e-05,5.9645e-05,5.6738e-05,5.8191e-05,5.9404e-05,4.031281072,17166.129322264,-15.636461846
2024-04-18 18:00,5.9404e-05,6.12e-05,5.9404e-05,6.0302e-05,5.9431e-05,0.045407091,19729.674708971,14.933741548
2024-04-18 19:00,5.9431e-05,6.078e-05,5.9268e-05,6.0024e-05,6.0066e-05,1.069034727,15941.569776528,-19.200037448
2024-04-18 20:00,6.0066e-05,6.0315e-05,5.7605e-05,5.896e-05,5.8743e-05,-2.202926235,28424.12841771,78.301941504
2024-04-18 21:00,5.8743e-05,5.9925e-05,5.8743e-05,5.9334e-05,5.9925e-05,2.012051483,3725.826248664,-86.892029919
2024-04-18 22:00,5.9925e-05,6.1865e-05,5.9517e-05,6.0691e-05,6.0704e-05,1.299465297,26153.270843125,601.945530941
2024-04-18 23:00,6.0704e-05,6.2069e-05,6.0524e-05,6.1297e-05,6.1924e-05,2.009886005,7837.094309109,-70.033980239
2024-04-19 00:00,6.1924e-05,6.5371e-05,6.1924e-05,6.3647e-05,6.3845e-05,3.103523999,22618.944703578,188.613914947
2024-04-19 01:00,6.3845e-05,6.5344e-05,6.3845e-05,6.4595e-05,6.4457e-05,0.957329458,12061.979845518,-46.673109627
2024-04-19 02:00,6.4457e-05,6.6284e-05,6.4457e-05,6.537e-05,6.6078e-05,2.514718064,8077.817507283,-33.030749423
2024-04-19 03:00,6.6078e-05,6.6078e-05,6.4539e-05,6.5309e-05,6.5396e-05,-1.032070817,8417.863761508,4.209630311
2024-04-19 04:00,6.5396e-05,6.5455e-05,6.1993e-05,6.3724e-05,6.2414e-05,-4.559551824,10565.8854774,25.51742077
2024-04-19 05:00,6.2414e-05,6.2414e-05,5.7427e-05,5.992e-05,5.8695e-05,-5.95863871,34206.603275726,223.745731949
2024-04-19 06:00,5.8695e-05,5.9935e-05,5.8695e-05,5.9315e-05,5.9831e-05,1.9361907,7872.266277541,-76.98612103
2024-04-19 07:00,5.9831e-05,6.0618e-05,5.9831e-05,6.0225e-05,6.0618e-05,1.31464492,1134.849619567,-85.584206891
