Date,Open,High,Low,Average,Close,Change,Volume,Volume Change
2024-04-19 00:00,1.93e-07,1.93e-07,1.89e-07,1.91e-07,1.89e-07,0.0,17682.185749863,0.0
2024-04-19 01:00,1.89e-07,1.91e-07,1.83e-07,1.87e-07,1.83e-07,-3.483911937,1898.351411491,-89.26404553
2024-04-19 02:00,1.83e-07,1.86e-07,1.79e-07,1.82e-07,1.79e-07,-2.029197396,1785.737048393,-5.932218999
2024-04-19 03:00,1.79e-07,1.85e-07,1.79e-07,1.82e-07,1.84e-07,2.901661227,2501.099337708,40.059777556
2024-04-19 04:00,1.84e-07,1.89e-07,1.84e-07,1.87e-07,1.86e-07,0.856307668,1484.5850508,-40.642699456
2024-04-19 05:00,1.86e-07,1.89e-07,1.84e-07,1.87e-07,1.87e-07,0.406616105,15018.391869491,911.622194458
2024-04-19 06:00,1.87e-07,1.92e-07,1.86e-07,1.89e-07,1.92e-07,2.835488479,2220.448698871,-85.215136759
2024-04-19 07:00,1.92e-07,1.95e-07,1.71e-07,1.83e-07,1.74e-07,-9.070467715,93505.034542101,4111.087362192
2024-04-19 08:00,1.74e-07,1.74e-07,1.41e-07,1.58e-07,1.59e-07,-8.984942082,228921.593383946,144.822746182
2024-04-19 09:00,1.59e-07,1.6e-07,1.54e-07,1.57e-07,1.54e-07,-3.198426362,14518.49925758,-93.657872531
2024-04-19 10:00,1.54e-07,1.6e-07,1.54e-07,1.57e-07,1.59e-07,3.319037337,17892.028331329,23.236072916
2024-04-19 11:00,1.59e-07,1.59e-07,1.55e-07,1.57e-07,1.55e-07,-2.465656335,6685.058391127,-62.636665518
2024-04-19 12:00,1.55e-07,1.6e-07,1.54e-07,1.57e-07,1.57e-07,1.330742318,12602.963725072,88.524362656
2024-04-19 13:00,1.57e-07,1.57e-07,1.56e-07,1.56e-07,1.56e-07,-0.762213116,2849.347200179,-77.391451231
2024-04-19 14:00,1.56e-07,1.61e-07,1.54e-07,1.58e-07,1.58e-07,1.395100167,11324.875800017,297.45510127
2024-04-19 15:00,1.58e-07,1.61e-07,1.58e-07,1.59e-07,1.61e-07,2.034657452,2176.403782705,-80.782095794
2024-04-19 16:00,1.61e-07,1.61e-07,1.56e-07,1.59e-07,1.56e-07,-2.973693421,463.927428896,-78.683761139
2024-04-19 17:00,1.56e-07,1.62e-07,1.56e-07,1.59e-07,1.59e-07,1.908223953,11241.757599919,2323.171578078
2024-04-19 18:00,1.59e-07,1.62e-07,1.59e-07,1.6e-07,1.59e-07,-0.315588718,3005.746386094,-73.262665029
2024-04-19 19:00,1.59e-07,1.65e-07,1.59e-07,1.62e-07,1.63e-07,2.483531888,10905.479017752,262.820997414
2024-04-19 20:00,1.63e-07,1.66e-07,1.61e-07,1.64e-07,1.61e-07,-0.940587933,3530.427598501,-67.627028645
2024-04-19 21:00,1.61e-07,1.61e-07,1.59e-07,1.6e-07,1.59e-07,-1.206935018,7413.580379055,109.991004551
2024-04-19 22:00,1.59e-07,1.59e-07,1.58e-07,1.59e-07,1.58e-07,-0.557112222,4220.857414569,-43.065871026
2024-04-19 23:00,1.58e-07,1.59e-07,1.56e-07,1.57e-07,1.56e-07,-1.2857834,271.317130536,-93.571990146
2024-04-20 00:00,1.56e-07,1.62e-07,1.56e-07,1.59e-07,1.59e-07,1.756588322,11633.525078147,4187.796002847
2024-04-20 01:00,1.59e-07,1.61e-07,1.57e-07,1.59e-07,1.58e-07,-0.701419258,2452.001280126,-78.922972498
2024-04-20 02:00,1.58e-07,1.62e-07,1.58e-07,1.6e-07,1.58e-07,0.294235116,565.418594559,-76.940526127
2024-04-20 03:00,1.58e-07,1.62e-07,1.58e-07,1.6e-07,1.62e-07,2.38208263,2142.990195651,279.009501327
2024-04-20 04:00,1.62e-07,1.64e-07,1.59e-07,1.61e-07,1.62e-07,-0.225899812,12779.026619271,496.317549432
2024-04-20 05:00,1.62e-07,1.62e-07,1.62e-07,1.62e-07,1.62e-07,-0.020406156,1124.608522404,-91.199576025
2024-04-20 06:00,1.62e-07,1.62e-07,1.62e-07,1.62e-07,1.62e-07,-0.020823631,124.699292527,-88.911759955
2024-04-20 07:00,1.62e-07,1.65e-07,1.61e-07,1.63e-07,1.61e-07,-0.231536267,5579.162829897,4374.093410501
2024-04-20 08:00,1.61e-07,1.62e-07,1.58e-07,1.6e-07,1.59e-07,-1.521698836,9887.709588931,77.225685831
2024-04-20 09:00,1.59e-07,1.63e-07,1.58e-07,1.6e-07,1.59e-07,-0.206980596,31236.481026863,215.912201364
2024-04-20 10:00,1.59e-07,1.59e-07,1.53e-07,1.56e-07,1.53e-07,-3.250801136,7858.800126629,-74.840955613
2024-04-20 11:00,1.53e-07,1.56e-07,1.53e-07,1.54e-07,1.53e-07,-0.495742658,2463.977878737,-68.646894704
2024-04-20 12:00,1.53e-07,1.57e-07,1.53e-07,1.55e-07,1.57e-07,3.038055066,3159.207282542,28.215732365
2024-04-20 13:00,1.57e-07,1.57e-07,1.54e-07,1.56e-07,1.57e-07,-0.075729367,3705.217752691,17.283147996
2024-04-20 14:00,1.57e-07,1.61e-07,1.57e-07,1.59e-07,1.58e-07,0.285035916,16004.036099603,331.932403648
2024-04-20 15:00,1.58e-07,1.63e-07,1.58e-07,1.6e-07,1.63e-07,3.422819468,3476.521890155,-78.277217894
2024-04-20 16:00,1.63e-07,1.63e-07,1.63e-07,1.63e-07,1.63e-07,0.102290869,334.809055194,-90.369424794
2024-04-20 17:00,1.63e-07,1.63e-07,1.62e-07,1.63e-07,1.63e-07,-0.247959711,154.800977307,-53.764399467
2024-04-20 18:00,1.63e-07,1.68e-07,1.63e-07,1.65e-07,1.68e-07,2.877291803,12826.222757641,8185.621305987
2024-04-20 19:00,1.68e-07,1.68e-07,1.64e-07,1.66e-07,1.67e-07,-0.084022069,5560.19773451,-56.649764786
2024-04-20 20:00,1.67e-07,1.67e-07,1.64e-07,1.66e-07,1.64e-07,-2.174295061,3444.232447752,-38.055576219
2024-04-20 21:00,1.64e-07,1.67e-07,1.63e-07,1.65e-07,1.63e-07,-0.202286146,1194.020778107,-65.332746955
2024-04-20 22:00,1.63e-07,1.67e-07,1.63e-07,1.65e-07,1.66e-07,1.846958129,777.482816103,-34.885319388
2024-04-20 23:00,1.66e-07,1.71e-07,1.64e-07,1.67e-07,1.67e-07,0.38078845,30586.694052445,3834.066891117
2024-04-21 00:00,1.67e-07,1.7e-07,1.66e-07,1.68e-07,1.66e-07,-0.68008017,3775.370342404,-87.656821179
2024-04-21 01:00,1.66e-07,1.67e-07,1.63e-07,1.65e-07,1.63e-07,-1.860589031,14354.210048785,280.206675026
2024-04-21 02:00,1.63e-07,1.66e-07,1.63e-07,1.65e-07,1.64e-07,0.872289527,1830.601598154,-87.246935973
2024-04-21 03:00,1.64e-07,1.65e-07,1.64e-07,1.64e-07,1.64e-07,0.123532982,397.58650534,-78.281101374
2024-04-21 04:00,1.64e-07,1.71e-07,1.64e-07,1.68e-07,1.66e-07,1.198998611,14308.773301634,3498.908189648
2024-04-21 05:00,1.66e-07,1.7e-07,1.66e-07,1.68e-07,1.7e-07,2.408897726,63.599908027,-99.555518096
2024-04-21 06:00,1.7e-07,1.7e-07,1.67e-07,1.69e-07,1.67e-07,-1.950601249,338.321361999,431.952596306
2024-04-21 07:00,1.67e-07,1.7e-07,1.66e-07,1.68e-07,1.7e-07,1.667013172,5042.204036269,1390.35934547
2024-04-21 08:00,1.7e-07,1.72e-07,1.67e-07,1.69e-07,1.69e-07,-0.511162411,15343.500690645,204.30146381
2024-04-21 09:00,1.69e-07,1.72e-07,1.69e-07,1.71e-07,1.69e-07,-0.081636937,641.502943692,-95.819057485
2024-04-21 10:00,1.69e-07,1.72e-07,1.68e-07,1.7e-07,1.71e-07,1.497889993,3337.349840613,420.239209099
2024-04-21 11:00,1.71e-07,1.72e-07,1.68e-07,1.7e-07,1.72e-07,0.10259038,1451.120829805,-56.518767911
2024-04-21 12:00,1.72e-07,1.72e-07,1.68e-07,1.7e-07,1.68e-07,-2.103061279,2080.641434654,43.381680693
2024-04-21 13:00,1.68e-07,1.73e-07,1.68e-07,1.7e-07,1.69e-07,0.851670795,10942.826434679,425.93523576
2024-04-21 14:00,1.69e-07,1.71e-07,1.68e-07,1.69e-07,1.71e-07,0.890415862,8126.657509749,-25.735297382
2024-04-21 15:00,1.71e-07,1.71e-07,1.68e-07,1.7e-07,1.71e-07,0.248399295,1997.58902744,-75.419303385
2024-04-21 16:00,1.71e-07,1.71e-07,1.67e-07,1.69e-07,1.67e-07,-2.599230368,4380.483296839,119.288514137
2024-04-21 17:00,1.67e-07,1.72e-07,1.67e-07,1.69e-07,1.72e-07,3.040964444,11590.334213081,164.590307226
2024-04-21 18:00,1.72e-07,1.78e-07,1.71e-07,1.74e-07,1.74e-07,1.377371935,33523.915933573,189.240286926
2024-04-21 19:00,1.74e-07,1.78e-07,1.74e-07,1.76e-07,1.78e-07,2.250110483,3175.893648035,-90.526483677
2024-04-21 20:00,1.78e-07,1.8e-07,1.74e-07,1.77e-07,1.76e-07,-1.188127896,14523.119792777,357.292384516
2024-04-21 21:00,1.76e-07,1.81e-07,1.76e-07,1.79e-07,1.77e-07,0.594608294,3579.485367912,-75.353192572
2024-04-21 22:00,1.77e-07,1.81e-07,1.76e-07,1.78e-07,1.78e-07,0.372466443,18463.927104579,415.826304812
2024-04-21 23:00,1.78e-07,1.81e-07,1.75e-07,1.78e-07,1.75e-07,-1.511161727,14495.045253793,-21.495328856
2024-04-22 00:00,1.75e-07,1.79e-07,1.75e-07,1.77e-07,1.79e-07,2.171440614,1836.034824326,-87.333362593
2024-04-22 01:00,1.79e-07,1.79e-07,1.75e-07,1.77e-07,1.75e-07,-2.190031327,2954.906740149,60.939580285
2024-04-22 02:00,1.75e-07,1.77e-07,1.73e-07,1.75e-07,1.73e-07,-1.048617491,10495.295202439,255.181943979
2024-04-22 03:00,1.73e-07,1.79e-07,1.73e-07,1.76e-07,1.76e-07,1.581023444,25381.76028302,141.839412741
2024-04-22 04:00,1.76e-07,1.79e-07,1.75e-07,1.77e-07,1.75e-07,-0.654742941,5377.122406445,-78.815013827
2024-04-22 05:00,1.75e-07,1.79e-07,1.75e-07,1.77e-07,1.79e-07,2.445049419,4409.524035865,-17.99472464
2024-04-22 06:00,1.79e-07,1.79e-07,1.76e-07,1.78e-07,1.76e-07,-1.799183874,4053.277031818,-8.079035314
2024-04-22 07:00,1.76e-07,1.79e-07,1.76e-07,1.77e-07,1.76e-07,-0.205486347,3778.833248864,-6.770911063
2024-04-22 08:00,1.76e-07,1.81e-07,1.76e-07,1.78e-07,1.77e-07,0.885040597,12361.310983411,227.11977929
2024-04-22 09:00,1.77e-07,1.81e-07,1.77e-07,1.79e-07,1.78e-07,0.359206859,7027.330086363,-43.150608412
2024-04-22 10:00,1.78e-07,1.82e-07,1.78e-07,1.8e-07,1.78e-07,0.078427002,2163.558036534,-69.21223267
2024-04-22 11:00,1.78e-07,1.81e-07,1.78e-07,1.79e-07,1.81e-07,1.727011197,2155.569677906,-0.369223219
2024-04-22 12:00,1.81e-07,1.82e-07,1.77e-07,1.8e-07,1.82e-07,0.533132134,11005.543164299,410.563090449
2024-04-22 13:00,1.82e-07,1.83e-07,1.79e-07,1.81e-07,1.83e-07,0.502500277,5336.204880958,-51.513480059
2024-04-22 14:00,1.83e-07,1.85e-07,1.8e-07,1.82e-07,1.8e-07,-1.345804378,9439.164441074,76.889093497
2024-04-22 15:00,1.8e-07,1.85e-07,1.79e-07,1.82e-07,1.82e-07,0.674121026,24954.70875463,164.374128774
2024-04-22 16:00,1.82e-07,1.85e-07,1.81e-07,1.83e-07,1.84e-07,1.441405035,8015.786704838,-67.878660562
