id,type,attributes.base_token_price_usd,attributes.base_token_price_native_currency,attributes.quote_token_price_usd,attributes.quote_token_price_native_currency,attributes.base_token_price_quote_token,attributes.quote_token_price_base_token,attributes.address,attributes.name,attributes.pool_created_at,attributes.fdv_usd,attributes.market_cap_usd,attributes.price_change_percentage.m5,attributes.price_change_percentage.h1,attributes.price_change_percentage.h6,attributes.price_change_percentage.h24,attributes.transactions.m5.buys,attributes.transactions.m5.sells,attributes.transactions.m5.buyers,attributes.transactions.m5.sellers,attributes.transactions.m15.buys,attributes.transactions.m15.sells,attributes.transactions.m15.buyers,attributes.transactions.m15.sellers,attributes.transactions.m30.buys,attributes.transactions.m30.sells,attributes.transactions.m30.buyers,attributes.transactions.m30.sellers,attributes.transactions.h1.buys,attributes.transactions.h1.sells,attributes.transactions.h1.buyers,attributes.transactions.h1.sellers,attributes.transactions.h24.buys,attributes.transactions.h24.sells,attributes.transactions.h24.buyers,attributes.transactions.h24.sellers,attributes.volume_usd.m5,attributes.volume_usd.h1,attributes.volume_usd.h6,attributes.volume_usd.h24,attributes.reserve_in_usd,relationships.base_token.data.id,relationships.base_token.data.type,relationships.quote_token.data.id,relationships.quote_token.data.type,relationships.dex.data.id,relationships.dex.data.type
eth_0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,pool,2644.96140430952,1.0,1.00295988716834,0.000379182486567587,2637.25,0.00037918,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,WETH / USDC 0.05%,2021-12-29T12:35:14Z,7797773619,7814985825.59971,-0.04,-0.19,-0.04,1.74,4,5,4.0,5.0,23,15,22.0,14.0,36,38,34.0,35.0,66,62,55.0,54.0,1500,1716,813.0,1114.0,147988.666530989,2333401.02108418,24107847.2955052,118119934.893565,153219372.4828,eth_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,token,eth_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,token,uniswap_v3,dex
eth_0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,pool,2644.96140430952,1.0,1.00228597740119,0.000376957823851257,2652.82,0.00037696,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,WETH / USDT 0.01%,2022-12-26T04:38:06Z,7797773619,7814985825.59971,-0.04,-0.19,-0.04,1.74,8,8,7.0,8.0,32,27,23.0,27.0,71,55,55.0,53.0,116,96,90.0,85.0,2691,2381,1384.0,1416.0,116765.337109903,5193742.19661788,32941784.3668203,111542583.104373,10167713.7695,eth_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,token,eth_0xdac17f958d2ee523a2206206994597c13d831ec7,token,uniswap_v3,dex
eth_0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,pool,0.99339703729724,0.000376429030285987,0.992901013599788,0.000378349844525988,0.99492318,1.00510273,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,DAI / USDC / USDT,2022-07-13T11:48:12Z,3345486712,5816526505.99995,0,0,0.53,-0.61,0,0,,,0,0,,,0,0,,,0,0,,,30,32,,,0.0,0.0,8789942.1258663029,23298980.431047775,156114534.4942,eth_0x6b175474e89094c44da98b954eedeac495271d0f,token,eth_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,token,curve,dex
eth_0x3416cf6c708da44db2624d63ea0aaef7113527c6,pool,1.00276954275363,0.000378954070177811,1.00259310838421,0.000378887394317046,1.00017598,0.99982405,0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC / USDT 0.01%,2021-12-29T12:38:24Z,25824041446,35006896078.9602,0,-0.01,0.08,0.55,0,1,0.0,1.0,3,3,3.0,3.0,4,6,4.0,6.0,8,9,8.0,9.0,238,301,204.0,241.0,952.373482264635,175713.290202536,17057813.7135021,38187123.0824088,20884492.8771,eth_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,token,eth_0xdac17f958d2ee523a2206206994597c13d831ec7,token,uniswap_v3,dex
eth_0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,pool,0.99532778457875,0.000376773071987114961562741956892,0.99573166109762,0.000379172984781775,0.99367067,1.00636965,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,USDe / USDC,2023-12-19T10:32:37Z,2426021993,2412499939.239,0,0.23,-0.07,0.09,0,1,0.0,1.0,1,1,1.0,1.0,2,1,2.0,1.0,3,1,3.0,1.0,53,44,35.0,24.0,3.7745468924776,207011.579625518,1114840.02451625,31724157.068734,22798098.0003,eth_0x4c9edd5852cd905f086c759e8383e09bff1e68b3,token,eth_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,token,curve,dex
eth_0xe0554a476a092703abdb3ef35c80e0d76d32939f,pool,1.00196939313442,0.000379182486567587,2644.96140430952,1.0,0.00037918,2637.25,0xe0554a476a092703abdb3ef35c80e0d76d32939f,USDC / WETH 0.01%,2021-12-30T20:32:10Z,25803435419,35006896078.9602,-0.02,0.01,-0.08,0.46,5,6,5.0,6.0,15,17,15.0,16.0,30,34,30.0,28.0,49,62,46.0,47.0,1118,1180,755.0,658.0,16800.4937920415,485672.624833259,11928900.4788077,30219268.8047146,5034196.4867,eth_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,token,eth_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,token,uniswap_v3,dex
eth_0x4585fe77225b41b697c938b018e2ac67ac5a20c0,pool,68373.1116374591,25.7596359700322,2644.96140430952,1.0,25.76,0.03882042,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC / WETH 0.05%,2021-12-29T12:36:14Z,10053084788,10037187109.1668,-0.04,-0.19,-0.38,2.23,2,0,2.0,0.0,7,0,7.0,0.0,10,1,10.0,1.0,18,7,15.0,7.0,301,278,177.0,153.0,9317.39462788439,500604.575321849,5885841.4163522,29193821.597659,82856877.7193,eth_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,token,eth_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,token,uniswap_v3,dex
eth_0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,pool,3127.66017401462,1.18196670696319,2646.15060680866,1.0,1.18196671,0.84604752,0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,wstETH / WETH 0.01%,2022-08-21T13:34:04Z,11112360362,11143904229.6777,0,-0.17,0.25,1.79,0,1,0.0,1.0,0,2,0.0,2.0,1,2,1.0,2.0,3,6,3.0,6.0,77,123,49.0,91.0,637.130800525721,107870.511817025,7026894.22905375,29011822.1922247,27499481.6116,eth_0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,token,eth_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,token,uniswap_v3,dex
eth_0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,pool,2646.15060680866,1.0,1.00319785584687,0.000378887394317046,2639.31,0.00037889,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH / USDT 0.3%,2021-12-29T12:36:12Z,7801279580,7814985825.59971,0,-0.15,0.01,1.79,0,1,0.0,1.0,1,1,1.0,1.0,2,6,2.0,6.0,3,14,3.0,13.0,216,227,142.0,165.0,116962.041157079,516330.424092637,6235737.61427641,24849978.0621534,81864791.2413,eth_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,token,eth_0xdac17f958d2ee523a2206206994597c13d831ec7,token,uniswap_v3,dex
eth_0x435664008f38b0650fbc1c9fc971d0a3bc2f1e47,pool,0.997091274413544,0.0003765594466595435922191152788412,0.997579222688507,0.000376705035047396,0.99961352,1.00038663,0x435664008f38b0650fbc1c9fc971d0a3bc2f1e47,USDe / USDT 0.01%,2023-11-23T13:43:35Z,2430320341,2412499939.239,0,0.03,-0.5,0.2,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,1.0,0,2,0.0,2.0,28,52,21.0,43.0,0.0,19226.9021388605,815394.563252586,24394227.9195478,15876333.5576,eth_0x4c9edd5852cd905f086c759e8383e09bff1e68b3,token,eth_0xdac17f958d2ee523a2206206994597c13d831ec7,token,uniswap_v3,dex
